Model,MAE,RMSE,R2 Score
Linear Regression,3936.4936943762987,5180.39078528187,-2.1896201993700535
Decision Tree,1649.8818181818183,8334.250670812547,-7.2555696530922
Random Forest,1458.941424242424,4999.622987517848,-1.9709027858925197
Gradient Boosting,1867.278010731376,5866.324874209197,-3.090215114695625
KNN,3200.6484848484847,15912.462957332686,-29.094611407356947
